Date Time Point	Source Plate Name	Source Plate Barcode	Source Plate Type	Source Well	Destination Plate Name	Destination Plate Barcode	Destination Plate Type	Destination Well	Destination Well X Offset	Destination Well Y Offset	Sample ID	Sample Name	Sample Group	Sample Comment	Transfer Volume	Actual Volume	Current Fluid Volume	Fluid Composition	Fluid Units	Fluid Type	Transfer Status
2019-05-08 16:07:40.828	1MSPSource		384PP_AQ_BP2	G8	1MSP001		Nunc_384_CellCultureClear	H20	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:07:40.828	1MSPSource		384PP_AQ_BP2	G8	1MSP001		Nunc_384_CellCultureClear	H13	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:07:40.829	1MSPSource		384PP_AQ_BP2	G8	1MSP001		Nunc_384_CellCultureClear	H8	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:07:40.829	1MSPSource		384PP_AQ_BP2	G8	1MSP001		Nunc_384_CellCultureClear	P7	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:16:28.388	1MSPSource		384PP_AQ_BP2	G8	1MSP002		Nunc_384_CellCultureClear	H20	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:16:28.389	1MSPSource		384PP_AQ_BP2	G8	1MSP002		Nunc_384_CellCultureClear	H13	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:16:28.389	1MSPSource		384PP_AQ_BP2	G8	1MSP002		Nunc_384_CellCultureClear	H8	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:16:28.390	1MSPSource		384PP_AQ_BP2	G8	1MSP002		Nunc_384_CellCultureClear	P7	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:24:11.011	1MSPSource		384PP_AQ_BP2	G8	1MSP003		Nunc_384_CellCultureClear	H20	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:24:11.011	1MSPSource		384PP_AQ_BP2	G8	1MSP003		Nunc_384_CellCultureClear	H13	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:24:11.012	1MSPSource		384PP_AQ_BP2	G8	1MSP003		Nunc_384_CellCultureClear	H8	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:24:11.012	1MSPSource		384PP_AQ_BP2	G8	1MSP003		Nunc_384_CellCultureClear	P7	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:31:51.727	1MSPSource		384PP_AQ_BP2	G8	1MSP004		Nunc_384_CellCultureClear	H20	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:31:51.728	1MSPSource		384PP_AQ_BP2	G8	1MSP004		Nunc_384_CellCultureClear	H13	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:31:51.728	1MSPSource		384PP_AQ_BP2	G8	1MSP004		Nunc_384_CellCultureClear	H8	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:31:51.729	1MSPSource		384PP_AQ_BP2	G8	1MSP004		Nunc_384_CellCultureClear	P7	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:39:21.507	1MSPSource		384PP_AQ_BP2	G8	1MSP005		Nunc_384_CellCultureClear	H20	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:39:21.507	1MSPSource		384PP_AQ_BP2	G8	1MSP005		Nunc_384_CellCultureClear	H13	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:39:21.508	1MSPSource		384PP_AQ_BP2	G8	1MSP005		Nunc_384_CellCultureClear	H8	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:39:21.508	1MSPSource		384PP_AQ_BP2	G8	1MSP005		Nunc_384_CellCultureClear	P7	0	0	Gemcitabine_0.03mM	Gemcitabine	sample	0.1	332.5	0	0	0	Percent	Glycerol	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
2019-05-08 16:43:15.554	1MSPSource		384PP_DMSO2	G1	1MSP005		Nunc_384_CellCultureClear	O3	0	0	Everolimus_3mM	Everolimus	sample	10	332.5	0	44.383	90.479	Percent	DMSO	ReceiverX: Medman::GalilInstrumentException: 22 Begin not possible due to limit switch., Cmd = BGE Error# -2 -> There was an error with the command sent to the Galil controller. Status = Forward Limit: NORMAL; Reverse Limit: TRIPPED; Home Limit: TRIPPED; 
2019-05-08 16:43:27.531	1MSPSource		384PP_DMSO2	D3	1MSP005		Nunc_384_CellCultureClear	O4	0	0	Fluorouracil_0.3mM	Fluorouracil	sample	1	332.5	0	43.678	93.905	Percent	DMSO	ReceiverX: Medman::GalilInstrumentException: 22 Begin not possible due to limit switch., Cmd = BGE Error# -2 -> There was an error with the command sent to the Galil controller. Status = Forward Limit: NORMAL; Reverse Limit: TRIPPED; Home Limit: TRIPPED; 
