"","Drug","cell","Final_conc_uM","median_GR24.x","median_GR24.y","percent_change_GR"
"1","17-AAG","A498",1,0.0350357342193235,0.0314525111334736,111.392486503364
"2","17-AAG","A498",2,0.0334293322916157,0.0314525111334736,106.285098031611
"3","17-AAG","A498",3,0.0237757332947791,0.0314525111334736,75.5924803392744
"4","17-AAG","ACHN",1,0.0362881699304954,0.0380091976631821,95.4720756067057
"5","17-AAG","ACHN",2,0.0371580849239705,0.0380091976631821,97.760771624927
"6","17-AAG","ACHN",3,0.0324847185446659,0.0380091976631821,85.4654150622403
"7","17-AAG","ACHN",4,0.00542152540502387,0.0380091976631821,14.263719674029
"8","17-AAG","ACHN",5,0.000155020165471869,0.0380091976631821,0.407849086543678
"9","17-AAG","BT549",1,0.0339071064767584,0.0361593240141026,93.7714058579583
"10","17-AAG","BT549",2,0.0343172626322752,0.0361593240141026,94.905708466483
"11","17-AAG","BT549",3,0.021093578535732,0.0361593240141026,58.3351019712238
"12","17-AAG","BT549",4,0.0169355448363393,0.0361593240141026,46.8359000011567
"13","17-AAG","BT549",5,0.01301965002231,0.0361593240141026,36.006342422862
"14","17-AAG","COLO205",1,0.0510601011371582,0.0534429368350681,95.5413458933524
"15","17-AAG","COLO205",2,0.0541610391980841,0.0534429368350681,101.343680578843
"16","17-AAG","COLO205",3,0.0298324514749825,0.0534429368350681,55.8211304274864
"17","17-AAG","COLO205",5,-0.0113270572767435,0.0534429368350681,-21.1946759432407
"18","17-AAG","EKVX",1,0.0223891477132708,0.0225374094814301,99.3421525740059
"19","17-AAG","EKVX",2,0.0244665658950754,0.0225374094814301,108.559796613869
"20","17-AAG","EKVX",3,0.0219936269686323,0.0225374094814301,97.5872004577729
"21","17-AAG","EKVX",4,0.0160964911583367,0.0225374094814301,71.4212126801863
"22","17-AAG","EKVX",5,0.00957046124468933,0.0225374094814301,42.4647795150325
"23","17-AAG","HCT15",1,0.0470355247091064,0.0483074373286203,97.3670459667286
"24","17-AAG","HCT15",2,0.0468637047209746,0.0483074373286203,97.011365769986
"25","17-AAG","HCT15",3,0.0483010412588226,0.0483074373286203,99.9867596582402
"26","17-AAG","HCT15",4,0.0312442158616719,0.0483074373286203,64.6778582956642
"27","17-AAG","HCT15",5,0.00362215053859184,0.0483074373286203,7.49812190191644
"28","17-AAG","HOP62",1,0.0290112138873448,0.0328472134228197,88.3216896176344
"29","17-AAG","HOP62",2,0.0312437785996661,0.0328472134228197,95.1185057846043
"30","17-AAG","HOP62",3,0.0250556575390823,0.0328472134228197,76.279400680228
"31","17-AAG","HOP62",4,0.0175577299250806,0.0328472134228197,53.4527227593768
"32","17-AAG","HOP62",5,0.0203587760005484,0.0328472134228197,61.9802226097046
"33","17-AAG","HS578T",1,0.0328902642680974,0.0300198026815637,109.561893583986
"34","17-AAG","HS578T",2,0.0311361357931638,0.0300198026815637,103.718655726827
"35","17-AAG","HS578T",3,0.0204390375370491,0.0300198026815637,68.0851828170128
"36","17-AAG","HS578T",4,0.0216613071387766,0.0300198026815637,72.1567272395153
"37","17-AAG","HS578T",5,0.0192661111525641,0.0300198026815637,64.1780072871571
"38","17-AAG","HT29",1,0.0443563138444618,0.0476834215568565,93.0225063475624
"39","17-AAG","HT29",2,0.0480710231568108,0.0476834215568565,100.812864486858
"40","17-AAG","HT29",3,0.000508761139444867,0.0476834215568565,1.06695602545684
"41","17-AAG","HT29",4,-0.0182665390268546,0.0476834215568565,-38.3079452573973
"42","17-AAG","HT29",5,-0.0224117625542713,0.0476834215568565,-47.0011627155323
"43","17-AAG","IGROV1",1,0.037371659562833,0.038474897061932,97.1325784255559
"44","17-AAG","IGROV1",2,0.0397455228282347,0.038474897061932,103.302479963124
"45","17-AAG","IGROV1",3,0.0247847557961036,0.038474897061932,64.4179911806086
"46","17-AAG","IGROV1",4,-0.000536064718286286,0.038474897061932,-1.39328434699487
"47","17-AAG","IGROV1",5,-0.00925007874800143,0.038474897061932,-24.0418544411225
"48","17-AAG","LOXIMVI",1,0.049820264089277,0.0508644306721432,97.9471576324198
"49","17-AAG","LOXIMVI",2,0.0517355224771236,0.0508644306721432,101.712575553229
"50","17-AAG","LOXIMVI",3,0.0206151328396111,0.0508644306721432,40.5295656850855
"51","17-AAG","LOXIMVI",4,-0.0401682421806698,0.0508644306721432,-78.9711821205318
"52","17-AAG","LOXIMVI",5,-0.0587285978266119,0.0508644306721432,-115.461034460719
"53","17-AAG","M14",1,0.0356357063245601,0.0383425390848164,92.9403925121687
"54","17-AAG","M14",2,0.0391410335392915,0.0383425390848164,102.08252889228
"55","17-AAG","M14",3,0.0247594130981536,0.0383425390848164,64.574265787104
"56","17-AAG","M14",4,0.0238889570997062,0.0383425390848164,62.3040561994659
"57","17-AAG","M14",5,0.020094121574073,0.0383425390848164,52.4068620745835
"58","17-AAG","MALME3M",1,0.0119653191882623,0.0149155090091872,80.2206561029351
"59","17-AAG","MALME3M",2,0.015065796906268,0.0149155090091872,101.007594826219
"60","17-AAG","MALME3M",3,0.0107778745704961,0.0149155090091872,72.2595156749763
"61","17-AAG","MALME3M",4,0.000455215025373823,0.0149155090091872,3.05195769781262
"62","17-AAG","MDAMB231",1,0.0306580706748049,0.0313143348703864,97.9042690885887
"63","17-AAG","MDAMB231",2,0.0314058802407992,0.0313143348703864,100.292343333466
"64","17-AAG","MDAMB231",3,0.031791119315198,0.0313143348703864,101.522575672723
"65","17-AAG","MDAMB231",4,0.0169827149900149,0.0313143348703864,54.2330375539134
"66","17-AAG","MDAMB231",5,0.00617895005112874,0.0313143348703864,19.7320175462903
"67","17-AAG","OVCAR4",1,0.0260445417027529,0.029170765833557,89.2830234603996
"68","17-AAG","OVCAR4",2,0.0274240191473443,0.029170765833557,94.0119957899655
"69","17-AAG","OVCAR4",3,0.0273984115830579,0.029170765833557,93.9242107642571
"70","17-AAG","OVCAR4",4,0.0138723289118334,0.029170765833557,47.5555869564287
"71","17-AAG","OVCAR4",5,-0.00319826193405804,0.029170765833557,-10.9639285862659
"72","17-AAG","OVCAR5",1,0.04220631216427,0.0434162002674235,97.21327961521
"73","17-AAG","OVCAR5",2,0.0452439591961642,0.0434162002674235,104.209854656747
"74","17-AAG","OVCAR5",3,0.0401259217867952,0.0434162002674235,92.4215420502905
"75","17-AAG","OVCAR5",4,0.00846613309608443,0.0434162002674235,19.499940215719
"76","17-AAG","OVCAR5",5,0.00803281540725269,0.0434162002674235,18.5018849134063
"77","17-AAG","SF539",1,0.0309987696336883,0.0384652108775527,80.5891061727633
"78","17-AAG","SF539",2,0.0368095834060146,0.0384652108775527,95.6957795530914
"79","17-AAG","SF539",3,0.0342440061076175,0.0384652108775527,89.0259154346699
"80","17-AAG","SF539",4,0.0174541342382747,0.0384652108775527,45.3764163514841
"81","17-AAG","SF539",5,0.0202416024791707,0.0384652108775527,52.6231418400547
"82","17-AAG","SKMEL2",1,0.0288379728108535,0.0333796703715687,86.3938214183695
"83","17-AAG","SKMEL2",2,0.034124846374741,0.0333796703715687,102.232424691069
"84","17-AAG","SKMEL2",3,0.0260130235035702,0.0333796703715687,77.9307381229471
"85","17-AAG","SKMEL2",4,0.0197895276219181,0.0333796703715687,59.2861685020529
"86","17-AAG","SKMEL2",5,0.00377452710370221,0.0333796703715687,11.307862125916
"87","17-AAG","SW620",1,0.036703622769399,0.037384362126904,98.1790799179772
"88","17-AAG","SW620",2,0.0397063022629226,0.037384362126904,106.210993056767
"89","17-AAG","SW620",3,0.026498904346684,0.037384362126904,70.8823230866732
"90","17-AAG","SW620",4,0.000869894483265487,0.037384362126904,2.32689401068973
"91","17-AAG","SW620",5,0.00171666485983394,0.037384362126904,4.59193299595856
"92","17-AAG","T47D",1,0.02663476653886,0.0276361106024267,96.3766823849706
"93","17-AAG","T47D",2,0.0292363137035872,0.0276361106024267,105.790261604395
"94","17-AAG","T47D",3,0.0297322089825632,0.0276361106024267,107.584635950735
"95","17-AAG","T47D",4,0.0256829485368344,0.0276361106024267,92.9325725544722
"96","17-AAG","T47D",5,0.0206856021454915,0.0276361106024267,74.849903602843
"97","17-AAG","UACC257",1,0.0275787275917934,0.0272559337351184,101.184306726792
"98","17-AAG","UACC257",2,0.0282599410654587,0.0272559337351184,103.683628453523
"99","17-AAG","UACC257",3,0.015377564192504,0.0272559337351184,56.4191428624237
"100","17-AAG","UACC257",4,0.00756472536153981,0.0272559337351184,27.7544164696618
"101","17-AAG","UACC257",5,0.00478291155335306,0.0272559337351184,17.5481478632685
"102","Asparaginase","A498",1,0.0320718192349057,0.0314525111334736,101.969025935017
"103","Asparaginase","A498",2,0.0350177533811296,0.0314525111334736,111.335318291523
"104","Asparaginase","A498",3,0.0311075745973377,0.0314525111334736,98.9033100261149
"105","Asparaginase","A498",4,0.0356897938506722,0.0314525111334736,113.472001326753
"106","Asparaginase","ACHN",1,0.0376989785351114,0.0380091976631821,99.1838314220162
"107","Asparaginase","ACHN",2,0.0413661480712437,0.0380091976631821,108.831942304621
"108","Asparaginase","ACHN",3,0.0385129696759522,0.0380091976631821,101.325395019475
"109","Asparaginase","ACHN",4,0.0372596073757252,0.0380091976631821,98.0278713218329
"110","Asparaginase","ACHN",5,0.0258685172619805,0.0380091976631821,68.0585722729903
"111","Asparaginase","BT549",1,0.0356047958363193,0.0361593240141026,98.4664310163347
"112","Asparaginase","BT549",2,0.0352493343403027,0.0361593240141026,97.483388590326
"113","Asparaginase","BT549",3,0.0304439496929533,0.0361593240141026,84.1939126989203
"114","Asparaginase","BT549",4,0.0328005898042138,0.0361593240141026,90.7112914816137
"115","Asparaginase","BT549",5,0.0370575905405653,0.0361593240141026,102.484190595245
"116","Asparaginase","COLO205",1,0.0544025155119548,0.0534429368350681,101.795520107452
"117","Asparaginase","COLO205",2,0.0525766276666232,0.0534429368350681,98.3790015673757
"118","Asparaginase","COLO205",3,0.0536927002825237,0.0534429368350681,100.467346037188
"119","Asparaginase","COLO205",4,0.0495251163831276,0.0534429368350681,92.6691520265224
"120","Asparaginase","EKVX",1,0.0233381369365058,0.0225374094814301,103.552881513447
