"","X","Drug","cell","Final_conc_uM","median_GR24.x","median_GR24.y","percent_change_GR","idx","group"
"1",1,"17-AAG","A498",1,0.0350357342193235,0.0314525111334736,111.392486503364,"17-AAG_A498","R"
"2",2,"17-AAG","A498",2,0.0334293322916157,0.0314525111334736,106.285098031611,"17-AAG_A498","R"
"3",3,"17-AAG","A498",3,0.0237757332947791,0.0314525111334736,75.5924803392744,"17-AAG_A498","R"
"4",4,"17-AAG","ACHN",1,0.0362881699304954,0.0380091976631821,95.4720756067057,"17-AAG_ACHN","S"
"5",5,"17-AAG","ACHN",2,0.0371580849239705,0.0380091976631821,97.760771624927,"17-AAG_ACHN","S"
"6",6,"17-AAG","ACHN",3,0.0324847185446659,0.0380091976631821,85.4654150622403,"17-AAG_ACHN","S"
"7",7,"17-AAG","ACHN",4,0.00542152540502387,0.0380091976631821,14.263719674029,"17-AAG_ACHN","S"
"8",8,"17-AAG","ACHN",5,0.000155020165471869,0.0380091976631821,0.407849086543678,"17-AAG_ACHN","S"
"9",9,"17-AAG","BT549",1,0.0339071064767584,0.0361593240141026,93.7714058579583,"17-AAG_BT549","S"
"10",10,"17-AAG","BT549",2,0.0343172626322752,0.0361593240141026,94.905708466483,"17-AAG_BT549","S"
"11",11,"17-AAG","BT549",3,0.021093578535732,0.0361593240141026,58.3351019712238,"17-AAG_BT549","S"
"12",12,"17-AAG","BT549",4,0.0169355448363393,0.0361593240141026,46.8359000011567,"17-AAG_BT549","S"
"13",13,"17-AAG","BT549",5,0.01301965002231,0.0361593240141026,36.006342422862,"17-AAG_BT549","S"
"14",14,"17-AAG","COLO205",1,0.0510601011371582,0.0534429368350681,95.5413458933524,"17-AAG_COLO205","S"
"15",15,"17-AAG","COLO205",2,0.0541610391980841,0.0534429368350681,101.343680578843,"17-AAG_COLO205","S"
"16",16,"17-AAG","COLO205",3,0.0298324514749825,0.0534429368350681,55.8211304274864,"17-AAG_COLO205","S"
"17",17,"17-AAG","COLO205",5,-0.0113270572767435,0.0534429368350681,-21.1946759432407,"17-AAG_COLO205","S"
"18",18,"17-AAG","EKVX",1,0.0223891477132708,0.0225374094814301,99.3421525740059,"17-AAG_EKVX","S"
"19",19,"17-AAG","EKVX",2,0.0244665658950754,0.0225374094814301,108.559796613869,"17-AAG_EKVX","S"
"20",20,"17-AAG","EKVX",3,0.0219936269686323,0.0225374094814301,97.5872004577729,"17-AAG_EKVX","S"
"21",21,"17-AAG","EKVX",4,0.0160964911583367,0.0225374094814301,71.4212126801863,"17-AAG_EKVX","S"
"22",22,"17-AAG","EKVX",5,0.00957046124468933,0.0225374094814301,42.4647795150325,"17-AAG_EKVX","S"
"23",23,"17-AAG","HCT15",1,0.0470355247091064,0.0483074373286203,97.3670459667286,"17-AAG_HCT15","S"
"24",24,"17-AAG","HCT15",2,0.0468637047209746,0.0483074373286203,97.011365769986,"17-AAG_HCT15","S"
"25",25,"17-AAG","HCT15",3,0.0483010412588226,0.0483074373286203,99.9867596582402,"17-AAG_HCT15","S"
"26",26,"17-AAG","HCT15",4,0.0312442158616719,0.0483074373286203,64.6778582956642,"17-AAG_HCT15","S"
"27",27,"17-AAG","HCT15",5,0.00362215053859184,0.0483074373286203,7.49812190191644,"17-AAG_HCT15","S"
"28",28,"17-AAG","HOP62",1,0.0290112138873448,0.0328472134228197,88.3216896176344,"17-AAG_HOP62","I"
"29",29,"17-AAG","HOP62",2,0.0312437785996661,0.0328472134228197,95.1185057846043,"17-AAG_HOP62","I"
"30",30,"17-AAG","HOP62",3,0.0250556575390823,0.0328472134228197,76.279400680228,"17-AAG_HOP62","I"
"31",31,"17-AAG","HOP62",4,0.0175577299250806,0.0328472134228197,53.4527227593768,"17-AAG_HOP62","I"
"32",32,"17-AAG","HOP62",5,0.0203587760005484,0.0328472134228197,61.9802226097046,"17-AAG_HOP62","I"
"33",33,"17-AAG","HS578T",1,0.0328902642680974,0.0300198026815637,109.561893583986,"17-AAG_HS578T","I"
"34",34,"17-AAG","HS578T",2,0.0311361357931638,0.0300198026815637,103.718655726827,"17-AAG_HS578T","I"
"35",35,"17-AAG","HS578T",3,0.0204390375370491,0.0300198026815637,68.0851828170128,"17-AAG_HS578T","I"
"36",36,"17-AAG","HS578T",4,0.0216613071387766,0.0300198026815637,72.1567272395153,"17-AAG_HS578T","I"
"37",37,"17-AAG","HS578T",5,0.0192661111525641,0.0300198026815637,64.1780072871571,"17-AAG_HS578T","I"
"38",38,"17-AAG","HT29",1,0.0443563138444618,0.0476834215568565,93.0225063475624,"17-AAG_HT29","S"
"39",39,"17-AAG","HT29",2,0.0480710231568108,0.0476834215568565,100.812864486858,"17-AAG_HT29","S"
"40",40,"17-AAG","HT29",3,0.000508761139444867,0.0476834215568565,1.06695602545684,"17-AAG_HT29","S"
"41",41,"17-AAG","HT29",4,-0.0182665390268546,0.0476834215568565,-38.3079452573973,"17-AAG_HT29","S"
"42",42,"17-AAG","HT29",5,-0.0224117625542713,0.0476834215568565,-47.0011627155323,"17-AAG_HT29","S"
"43",43,"17-AAG","IGROV1",1,0.037371659562833,0.038474897061932,97.1325784255559,"17-AAG_IGROV1","S"
"44",44,"17-AAG","IGROV1",2,0.0397455228282347,0.038474897061932,103.302479963124,"17-AAG_IGROV1","S"
"45",45,"17-AAG","IGROV1",3,0.0247847557961036,0.038474897061932,64.4179911806086,"17-AAG_IGROV1","S"
"46",46,"17-AAG","IGROV1",4,-0.000536064718286286,0.038474897061932,-1.39328434699487,"17-AAG_IGROV1","S"
"47",47,"17-AAG","IGROV1",5,-0.00925007874800143,0.038474897061932,-24.0418544411225,"17-AAG_IGROV1","S"
"48",48,"17-AAG","LOXIMVI",1,0.049820264089277,0.0508644306721432,97.9471576324198,"17-AAG_LOXIMVI","S"
"49",49,"17-AAG","LOXIMVI",2,0.0517355224771236,0.0508644306721432,101.712575553229,"17-AAG_LOXIMVI","S"
"50",50,"17-AAG","LOXIMVI",3,0.0206151328396111,0.0508644306721432,40.5295656850855,"17-AAG_LOXIMVI","S"
"51",51,"17-AAG","LOXIMVI",4,-0.0401682421806698,0.0508644306721432,-78.9711821205318,"17-AAG_LOXIMVI","S"
"52",52,"17-AAG","LOXIMVI",5,-0.0587285978266119,0.0508644306721432,-115.461034460719,"17-AAG_LOXIMVI","S"
"53",53,"17-AAG","M14",1,0.0356357063245601,0.0383425390848164,92.9403925121687,"17-AAG_M14","I"
"54",54,"17-AAG","M14",2,0.0391410335392915,0.0383425390848164,102.08252889228,"17-AAG_M14","I"
"55",55,"17-AAG","M14",3,0.0247594130981536,0.0383425390848164,64.574265787104,"17-AAG_M14","I"
"56",56,"17-AAG","M14",4,0.0238889570997062,0.0383425390848164,62.3040561994659,"17-AAG_M14","I"
"57",57,"17-AAG","M14",5,0.020094121574073,0.0383425390848164,52.4068620745835,"17-AAG_M14","I"
"58",58,"17-AAG","MALME3M",1,0.0119653191882623,0.0149155090091872,80.2206561029351,"17-AAG_MALME3M","S"
"59",59,"17-AAG","MALME3M",2,0.015065796906268,0.0149155090091872,101.007594826219,"17-AAG_MALME3M","S"
