"","x"
"1","C00022"
"2","C00024"
"3","C00031"
"4","C00033"
"5","C00036"
"6","C00068"
"7","C00074"
"8","C00084"
"9","C00103"
"10","C00111"
"11","C00118"
"12","C00186"
"13","C00197"
"14","C00221"
"15","C00236"
"16","C00267"
"17","C00469"
"18","C00631"
"19","C00668"
"20","C01159"
"21","C01172"
"22","C01451"
"23","C05125"
"24","C05345"
"25","C05378"
"26","C06186"
"27","C06187"
"28","C06188"
"29","C15972"
"30","C15973"
"31","C16255"
"32","C00026"
"33","C00042"
"34","C00091"
"35","C00122"
"36","C00149"
"37","C00158"
"38","C00311"
"39","C00417"
"40","C05379"
"41","C05381"
"42","C16254"
"43","C00117"
"44","C00119"
"45","C00121"
"46","C00198"
"47","C00199"
"48","C00204"
"49","C00231"
"50","C00257"
"51","C00258"
"52","C00279"
"53","C00345"
"54","C00577"
"55","C00620"
"56","C00672"
"57","C00673"
"58","C01151"
"59","C01218"
"60","C01236"
"61","C01801"
"62","C03752"
"63","C04442"
"64","C05382"
"65","C06019"
"66","C06473"
"67","C20589"
"68","C00029"
"69","C00116"
"70","C00167"
"71","C00181"
"72","C00191"
"73","C00216"
"74","C00259"
"75","C00266"
"76","C00309"
"77","C00310"
"78","C00312"
"79","C00333"
"80","C00379"
"81","C00433"
"82","C00470"
"83","C00474"
"84","C00476"
"85","C00502"
"86","C00508"
"87","C00514"
"88","C00532"
"89","C00558"
"90","C00618"
"91","C00714"
"92","C00789"
"93","C00800"
"94","C00817"
"95","C00905"
"96","C01068"
"97","C01101"
"98","C01508"
"99","C01904"
"100","C02266"
"101","C02273"
"102","C02426"
"103","C02753"
"104","C03033"
"105","C03291"
"106","C03826"
"107","C04053"
"108","C04349"
"109","C04575"
"110","C05385"
"111","C05411"
"112","C05412"
"113","C06118"
"114","C06441"
"115","C14899"
"116","C15930"
"117","C20680"
"118","C22337"
"119","C00095"
"120","C00096"
"121","C00159"
"122","C00247"
"123","C00275"
"124","C00325"
"125","C00392"
"126","C00424"
"127","C00464"
"128","C00507"
"129","C00636"
"130","C00644"
"131","C00665"
"132","C00794"
"133","C00861"
"134","C00976"
"135","C01019"
"136","C01094"
"137","C01096"
"138","C01099"
"139","C01131"
"140","C01222"
"141","C01355"
"142","C01487"
"143","C01720"
"144","C01721"
"145","C01768"
"146","C01934"
"147","C02431"
"148","C02492"
"149","C02888"
"150","C02962"
"151","C02977"
"152","C02985"
"153","C02991"
"154","C03117"
"155","C03267"
"156","C03827"
"157","C03979"
"158","C05144"
"159","C05392"
"160","C06192"
"161","C11516"
"162","C11544"
"163","C18028"
"164","C18096"
"165","C20781"
"166","C00052"
"167","C00085"
"168","C00089"
"169","C00124"
"170","C00137"
"171","C00243"
"172","C00446"
"173","C00492"
"174","C00795"
"175","C00880"
"176","C00984"
"177","C01097"
"178","C01113"
"179","C01132"
"180","C01216"
"181","C01235"
"182","C01286"
"183","C01613"
"184","C01697"
"185","C02262"
"186","C02669"
"187","C03383"
"188","C03733"
"189","C03785"
"190","C05396"
"191","C05399"
"192","C05400"
"193","C05401"
"194","C05402"
"195","C05404"
"196","C05796"
"197","C06311"
"198","C06376"
"199","C06377"
"200","C00072"
"201","C00545"
"202","C00617"
"203","C00652"
"204","C00679"
"205","C00684"
"206","C00818"
"207","C00878"
"208","C00879"
"209","C01040"
"210","C01041"
"211","C01114"
"212","C01115"
"213","C01146"
"214","C01620"
"215","C01825"
"216","C02280"
"217","C02670"
"218","C03064"
"219","C03289"
"220","C03921"
"221","C04037"
"222","C05422"
"223","C06316"
"224","C15923"
"225","C15924"
"226","C15925"
"227","C15926"
"228","C16186"
"229","C20889"
"230","C20896"
"231","C21955"
"232","C00083"
"233","C00154"
"234","C00173"
"235","C00229"
"236","C00249"
"237","C00383"
"238","C00638"
"239","C00685"
"240","C00693"
"241","C00712"
"242","C01203"
"243","C01209"
"244","C01271"
"245","C01530"
"246","C01571"
"247","C02679"
"248","C02843"
"249","C03939"
"250","C04088"
"251","C04180"
"252","C04246"
"253","C04618"
"254","C04619"
"255","C04620"
"256","C04633"
"257","C04688"
"258","C05223"
"259","C05744"
"260","C05745"
"261","C05746"
"262","C05747"
"263","C05748"
"264","C05749"
"265","C05750"
"266","C05751"
"267","C05752"
"268","C05753"
"269","C05754"
"270","C05755"
"271","C05756"
"272","C05757"
"273","C05758"
"274","C05759"
"275","C05760"
"276","C05761"
"277","C05762"
"278","C05763"
"279","C05764"
"280","C06423"
"281","C06424"
"282","C08362"
"283","C16219"
"284","C16220"
"285","C16221"
"286","C16520"
"287","C20683"
"288","C20794"
"289","C00040"
"290","C00136"
"291","C00162"
"292","C00264"
"293","C00605"
"294","C00640"
"295","C00658"
"296","C01832"
"297","C01944"
"298","C02593"
"299","C03221"
"300","C05258"
"301","C05259"
"302","C05260"
"303","C05261"
"304","C05262"
"305","C05263"
"306","C05264"
"307","C05265"
"308","C05266"
"309","C05267"
"310","C05268"
"311","C05269"
"312","C05270"
"313","C05271"
"314","C05272"
"315","C05273"
"316","C05274"
"317","C05275"
"318","C05276"
"319","C20876"
"320","C20877"
"321","C20878"
"322","C20879"
"323","C00010"
"324","C00071"
"325","C00226"
"326","C00332"
"327","C00340"
"328","C00435"
"329","C00489"
"330","C00517"
"331","C00527"
"332","C00823"
"333","C00877"
"334","C01144"
"335","C01371"
"336","C02990"
"337","C03547"
"338","C03561"
"339","C05102"
"340","C05279"
"341","C05280"
"342","C00187"
"343","C00448"
"344","C00751"
"345","C01054"
"346","C01164"
"347","C01189"
"348","C01561"
"349","C01673"
"350","C01694"
"351","C01724"
"352","C01753"
"353","C01789"
"354","C01802"
"355","C01902"
"356","C01943"
"357","C02141"
"358","C02530"
"359","C03428"
"360","C03845"
"361","C04525"
"362","C05103"
"363","C05107"
"364","C05108"
"365","C05109"
"366","C05437"
"367","C05439"
"368","C05440"
"369","C05441"
"370","C05442"
"371","C05443"
"372","C07712"
"373","C08813"
"374","C08821"
"375","C08830"
"376","C11455"
"377","C11508"
"378","C11522"
"379","C11523"
"380","C15776"
"381","C15777"
"382","C15780"
"383","C15781"
"384","C15782"
"385","C15783"
"386","C15808"
"387","C15816"
"388","C15915"
"389","C18231"
"390","C21106"
"391","C22112"
"392","C22116"
"393","C22119"
"394","C22120"
"395","C22121"
"396","C22122"
"397","C22123"
"398","C22136"
"399","C00037"
"400","C00245"
"401","C00695"
"402","C01301"
"403","C01794"
"404","C01921"
"405","C02528"
"406","C03594"
"407","C04554"
"408","C04722"
"409","C05122"
"410","C05337"
"411","C05444"
"412","C05445"
"413","C05446"
"414","C05447"
