"","idx","injseq","source_plate","well384","well96","cell","drug","conc","quadrant"
"1",16560,"144","P1","A10","A5","OVCAR4","BPTES","1.10e+00",2
"2",24699,"139","P1","A10","A5","HS578T","BPTES","1.10e+00",2
"3",19112,"196","P1","A10","A5","M14","BPTES","1.10e+00",2
"4",19113,"196","P1","A10","A5","M14","BPTES","1.10e+00",2
"5",31200,"133","P1","A10","A5","SF539","BPTES","1.10e+00",2
"6",5170,"146","P1","A10","A5","HOP62","BPTES","  1.1000",2
"7",243,"121","P1","A10","A5","LOXIMVI","BPTES","1.10e+00",2
"8",2000,"186","P1","A10","A5","MDAMB231","BPTES","1.10e+00",2
"9",33652,"135","P1","A10","A5","BT549","BPTES","1.10e+00",2
"10",13370,"181","P1","A10","A5","UACC257","BPTES","1.10e+00",2
"11",6724,"111","P1","A10","A5","EKVX","BPTES","1.10e+00",2
"12",29595,"146","P1","A10","A5","SKMEL2","BPTES","1.10e+00",2
"13",10948,"183","P1","A10","A5","OVCAR5","BPTES","  1.1000",2
"14",26353,"150","P1","A10","A5","IGROV1","BPTES","1.10e+00",2
"15",26352,"150","P1","A10","A5","IGROV1","BPTES","1.10e+00",2
"16",33653,"135","P1","A10","A5","BT549","BPTES","1.10e+00",2
"17",3596,"168","P1","A10","A5","T47D","BPTES","  1.1000",2
"18",24698,"139","P1","A10","A5","HS578T","BPTES","1.10e+00",2
"19",2001,"186","P1","A10","A5","MDAMB231","BPTES","1.10e+00",2
"20",11654,"135","P1","A10","A5","COLO205","BPTES","  1.1000",2
"21",5171,"146","P1","A10","A5","HOP62","BPTES","  1.1000",2
"22",11655,"135","P1","A10","A5","COLO205","BPTES","  1.1000",2
"23",13371,"181","P1","A10","A5","UACC257","BPTES","1.10e+00",2
"24",28823,"161","P1","A10","A5","HCT15","BPTES","  1.1000",2
"25",28822,"161","P1","A10","A5","HCT15","BPTES","  1.1000",2
"26",16561,"144","P1","A10","A5","OVCAR4","BPTES","1.10e+00",2
"27",6725,"111","P1","A10","A5","EKVX","BPTES","1.10e+00",2
"28",242,"121","P1","A10","A5","LOXIMVI","BPTES","1.10e+00",2
"29",23900,"148","P1","A10","A5","ACHN","BPTES","1.10e+00",2
