"","drug","ionIndex","slope","r2","adj-r2","pvalue"
"1","Docetaxel","1","0.843253293230277","0.862667920056484","0.85543991584893","1.24315596669754e-09"
"2","Everolimus","1","0.890702987484011","0.948032033881204","0.945296877769688","1.16627840454913e-13"
"3","Gemcitabine","1","1.12129911199139","0.97674505187771","0.975521107239694","5.53816394373222e-17"
"4","Oligomycin A","1","1.22564672149949","0.971670091665502","0.970179043858423","3.62092959257795e-16"
"5","17-AAG","1","1.0244670420262","0.960235609779288","0.958142747136093","9.12023511230339e-15"
"6","BPTES","1","0.977226285817747","0.885916103819622","0.879911688231182","2.10940025715527e-10"
"7","Chlormethine","1","1.076731106712","0.949826442686645","0.947185729143837","8.34554123224263e-14"
"8","Clofarabine","1","1.12093149144147","0.960402571185815","0.958318495985069","8.7621817991946e-15"
"9","Erlotinib","1","1.09736684194348","0.975913286450017","0.974645564684228","7.736125227083e-17"
"10","Fluorouracil","1","1.09603031823973","0.967146325064984","0.96541718427893","1.48235761048354e-15"
"11","Irinotecan","1","1.01075650325894","0.952782250865394","0.950297106174099","4.68096399413944e-14"
"12","Panzem-2-ME2","1","1.06730090897216","0.953744565095559","0.951310068521641","3.84754673875345e-14"
"13","Pemetrexed","1","0.98327183811952","0.953450863575622","0.951000909026971","4.08656433622568e-14"
"14","Asparaginase","1","1.11643983889347","0.953941250380441","0.950398269640474","4.53946308302e-10"
"15","Rapamycin","1","0.964304795670511","0.983697213176151","0.98283917176437","1.89045439325028e-18"
"16","Methotrexate","1","0.908663405963565","0.922889257017404","0.918830796860425","5.01366521953106e-12"
"17","Omacetaxine","1","0.957842158408938","0.944791015290335","0.941885279252984","2.07527332824712e-13"
"18","Paclitaxel","1","0.843831529441603","0.900197825583251","0.894945079561317","5.87822596277831e-11"
"19","Topotecan","1","1.1265942776887","0.976031528777831","0.974770030292454","7.38237681554612e-17"
"20","Trametinib","1","0.998683425669575","0.990617482054864","0.99012366532091","9.90232448766792e-21"
"21","Cladribine","1","0.950585792514556","0.964350260233675","0.962473958140711","3.22483888769513e-15"
"22","Decitabine","1","0.941727120692752","0.937116140748408","0.933806463945692","7.17297158889996e-13"
"23","Lenvatinib","1","1.00748916252711","0.926832859200196","0.922981957052838","3.03902669210933e-12"
"24","Mercaptopurine","1","0.969405889631707","0.87327969610763","0.866610206429084","5.75914474252713e-10"
"25","Oxaliplatin","1","1.02172290837902","0.962106928215366","0.960112556016175","5.76430448501005e-15"
"26","YC-1","1","1.08292059258103","0.980761190997773","0.979748622102919","9.12762441690175e-18"
"27","Docetaxel","2","1.03434442955313","0.983073203765633","0.982182319753298","2.70186350568846e-18"
"28","Everolimus","2","0.978786290947909","0.984324499678466","0.983499473345754","1.30183805932512e-18"
"29","Gemcitabine","2","0.963451810711709","0.990305614159947","0.98979538332626","1.35116220415292e-20"
"30","Oligomycin A","2","0.998927568377719","0.984408640371928","0.983588042496766","1.23690026135337e-18"
"31","17-AAG","2","1.03091036185838","0.980755752537331","0.979742897407717","9.15218883081798e-18"
"32","BPTES","2","0.99632733729364","0.963399363726467","0.961473014448913","4.14293218184431e-15"
"33","Chlormethine","2","0.952924206747972","0.980858315030903","0.979850857927266","8.69875622426991e-18"
"34","Clofarabine","2","0.974414066773072","0.983135399192441","0.982247788623622","2.60893548110813e-18"
"35","Erlotinib","2","1.02218028389291","0.980626035453776","0.979606353109238","9.75591056915015e-18"
"36","Fluorouracil","2","1.02718933014315","0.978842887338941","0.977729355093622","2.25364137360896e-17"
"37","Irinotecan","2","1.04792153876087","0.987085804458628","0.98640610995645","2.06321147911288e-19"
"38","Panzem-2-ME2","2","1.03137349009457","0.977822665304204","0.97665543716232","3.52689359115617e-17"
"39","Pemetrexed","2","0.978390443000093","0.982865372995657","0.981963550521744","3.03426723978034e-18"
"40","Asparaginase","2","0.909724216792398","0.975478651350902","0.973592393762509","7.47014345630835e-12"
"41","Rapamycin","2","1.03260160984686","0.982902874439544","0.982003025725836","2.97171106947496e-18"
"42","Methotrexate","2","0.99204489258244","0.973231737967501","0.971822882071053","2.11138711375474e-16"
"43","Omacetaxine","2","1.05488570055967","0.956189453603958","0.953883635372587","2.29421397118727e-14"
"44","Paclitaxel","2","1.08077561617088","0.96932656992137","0.9677121788646","7.71270059370624e-16"
"45","Topotecan","2","1.02734066160607","0.979987959053666","0.978934693740701","1.32766301791158e-17"
"46","Trametinib","2","1.00039475700858","0.981860749574037","0.980906052183197","5.21589601921771e-18"
"47","Cladribine","2","0.952834971416163","0.973347119833081","0.971944336666401","2.02638685849241e-16"
"48","Decitabine","2","0.971485679085238","0.975159852885772","0.973852476721865","1.03693793709904e-16"
"49","Lenvatinib","2","1.05528533459332","0.97895836145527","0.977850906795021","2.13934914024661e-17"
"50","Mercaptopurine","2","1.10894462056561","0.971539175495102","0.970041237363265","3.78327939798771e-16"
"51","Oxaliplatin","2","1.00998662020423","0.967799940050853","0.966105200053529","1.22436669175111e-15"
"52","YC-1","2","1.00092600910023","0.984525893947485","0.983711467313142","1.15124119466482e-18"
"53","Docetaxel","3","1.08714285599935","0.971012665146933","0.96948701594414","4.50404117530388e-16"
"54","Everolimus","3","1.01737298445564","0.973940945265944","0.972569416069414","1.63546276449607e-16"
"55","Gemcitabine","3","0.980435520274572","0.974682550005371","0.973350052637233","1.24272152332285e-16"
"56","Oligomycin A","3","1.0314647140094","0.973316605351871","0.971912216159864","2.04856320232501e-16"
"57","17-AAG","3","1.05826353421701","0.973390500503727","0.971990000530239","1.99522986356856e-16"
"58","BPTES","3","1.05678205629387","0.943750443338487","0.940789940356302","2.47930252383581e-13"
"59","Chlormethine","3","1.04923015497517","0.977201246419513","0.97600131202054","4.58705214559645e-17"
"60","Clofarabine","3","0.95827216061711","0.971518679939932","0.970019663094665","3.80927740261876e-16"
"61","Erlotinib","3","1.08924568987653","0.958955733041416","0.956795508464648","1.23301922073263e-14"
"62","Fluorouracil","3","1.10430614996825","0.973886078520049","0.972511661600052","1.66851204134408e-16"
"63","Irinotecan","3","0.947089190534938","0.978170806032977","0.977021901087344","3.03418366528948e-17"
"64","Panzem-2-ME2","3","1.03633101576082","0.965376533672864","0.963554245971435","2.44221783156782e-15"
"65","Pemetrexed","3","1.00756042232018","0.976329182927057","0.975083350449534","6.55509687909229e-17"
"66","Asparaginase","3","1.08557810865036","0.981754934722324","0.980351468162503","1.0902643204226e-12"
"67","Rapamycin","3","0.983690847977751","0.985487382654291","0.984723560688727","6.256139914506e-19"
"68","Methotrexate","3","0.928296240402991","0.959071273972012","0.956917130496854","1.20037137079153e-14"
"69","Omacetaxine","3","0.818268030373713","0.862329633845314","0.855083825100331","1.27277651200366e-09"
"70","Paclitaxel","3","0.938507352626167","0.961846511183591","0.959838432824833","6.15257823786628e-15"
"71","Topotecan","3","0.91500696367982","0.973013055785631","0.971592690300664","2.28129008165959e-16"
"72","Trametinib","3","0.870382433655809","0.973989631602718","0.972620664844966","1.60662822283681e-16"
"73","Cladribine","3","0.99801363976559","0.968900605784716","0.967263795562859","8.79414582847554e-16"
"74","Decitabine","3","0.983590314744428","0.991561488706313","0.991117356532961","3.6144420468322e-21"
"75","Lenvatinib","3","0.916077003394001","0.95082515968401","0.948237010193694","6.89121080744464e-14"
"76","Mercaptopurine","3","0.84222179961855","0.947728521363886","0.944977390909354","1.23279532921558e-13"
"77","Oxaliplatin","3","0.969525776109561","0.95929319670343","0.957150733372031","1.13982627621844e-14"
"78","YC-1","3","0.915085168180871","0.959526361162627","0.957396169644871","1.07917279974006e-14"
"79","Docetaxel","4","1.04946476710166","0.991842882580658","0.991413560611219","2.61853810164659e-21"
"80","Everolimus","4","1.01303081742958","0.989611559066848","0.989064799017735","2.60693868956662e-20"
"81","Gemcitabine","4","1.01337724774601","0.990635466100589","0.990142595895356","9.72339284459382e-21"
"82","Oligomycin A","4","1.00291557380384","0.989060641200835","0.988484885474563","4.26024228946925e-20"
"83","17-AAG","4","1.04780092717904","0.987188067222779","0.986513754971346","1.91303405163933e-19"
"84","BPTES","4","1.02827559840156","0.977801472703515","0.976633129161594","3.55907651997545e-17"
"85","Chlormethine","4","1.00728914448911","0.992978478560736","0.992608924800775","6.29987734758333e-22"
"86","Clofarabine","4","1.02447404350555","0.987737548485455","0.987092156300479","1.26112659069438e-19"
"87","Erlotinib","4","1.01976593972088","0.985086995127936","0.98430210013467","8.10346270870314e-19"
"88","Fluorouracil","4","1.06497170388143","0.988276475561011","0.987659447958959","8.22659425677346e-20"
"89","Irinotecan","4","0.991497323195232","0.990258226669744","0.989745501757625","1.41525669157422e-20"
"90","Panzem-2-ME2","4","1.00717590590911","0.974030973822292","0.972664182970833","1.58250138430874e-16"
"91","Pemetrexed","4","1.0065798766956","0.992363735944166","0.991961827309648","1.39870441349704e-21"
"92","Asparaginase","4","0.968095015552841","0.99142986255817","0.990770621216491","7.99216418959158e-15"
"93","Rapamycin","4","0.99423207978334","0.993032655886045","0.992665953564257","5.85280033347571e-22"
"94","Methotrexate","4","1.02778285440782","0.994490534475477","0.994200562605765","6.28748008631187e-23"
"95","Omacetaxine","4","1.05603581165361","0.970386822951399","0.968828234685683","5.51896329356948e-16"
"96","Paclitaxel","4","0.979527875029301","0.982984114051488","0.982088541106829","2.84013695900944e-18"
"97","Topotecan","4","1.00419244608312","0.988064393914201","0.987436204120211","9.75510394042649e-20"
"98","Trametinib","4","1.02384598241028","0.99000972389254","0.989483919886885","1.7980818601798e-20"
"99","Cladribine","4","0.977583362508043","0.971179166304797","0.969662280320838","4.26385221302966e-16"
"100","Decitabine","4","0.99708346669959","0.991447571707982","0.990997443903139","4.10570815413249e-21"
"101","Lenvatinib","4","1.03501645625858","0.960228866571599","0.958135649022736","9.13496733550579e-15"
"102","Mercaptopurine","4","1.01256100566016","0.98086125021983","0.979853947599821","8.6860809876017e-18"
"103","Oxaliplatin","4","0.977456524073863","0.982697683473535","0.9817870352353","3.32865267172368e-18"
"104","YC-1","4","0.98796995255964","0.991712899283454","0.991276736087846","3.04306135529636e-21"
"105","Docetaxel","5","0.616624374758884","0.759579152732456","0.746925423928901","2.68820709779202e-07"
"106","Everolimus","5","0.847811777306176","0.862317159421193","0.855070694127572","1.27388077301901e-09"
"107","Gemcitabine","5","1.17650914275902","0.890338762789418","0.884567118725703","1.44565336556843e-10"
"108","Oligomycin A","5","1.40998617736619","0.870963004623349","0.864171583814051","6.84888799208056e-10"
"109","17-AAG","5","0.534938788653598","0.846972057220625","0.838917954969079","3.50406409125686e-09"
"110","BPTES","5","1.24274472380424","0.858981987557762","0.851559986902907","1.60188212422976e-09"
"111","Chlormethine","5","1.08367294984759","0.945605468672865","0.942742598603016","1.80131167870877e-13"
"112","Clofarabine","5","1.12363668961655","0.802783941978682","0.792404149451244","3.99530885374534e-08"
"113","Erlotinib","5","1.16653487958153","0.9584282498659","0.956240263016737","1.39239580504307e-14"
"114","Fluorouracil","5","1.14497794552222","0.961118104855429","0.959071689321504","7.36598095972666e-15"
"115","Irinotecan","5","1.03760405112079","0.915754082761252","0.911320087117108","1.16625105475809e-11"
"116","Panzem-2-ME2","5","0.854199260386053","0.84755142338442","0.839527814088864","3.37901139765237e-09"
"117","Pemetrexed","5","1.16778022203497","0.890850063456041","0.885105329953727","1.38251798043871e-10"
"118","Asparaginase","5","0.360016647530961","0.505713390804307","0.467691343943099","0.00295426752389764"
"119","Rapamycin","5","0.75815192009824","0.884257958697823","0.878166272313498","2.42135089396413e-10"
"120","Methotrexate","5","0.575967751119842","0.814279817145807","0.804505070679797","2.24398125061309e-08"
"121","Omacetaxine","5","0.458458844139516","0.713397106720159","0.698312743915957","1.46680947110908e-06"
"122","Paclitaxel","5","0.555330411945361","0.875982450610798","0.869455211169261","4.68607052970342e-10"
"123","Topotecan","5","0.972929543941692","0.945091742992641","0.942201834729095","1.97005386685842e-13"
"124","Trametinib","5","0.591717333465393","0.873740413458421","0.867095172061496","5.56196270491195e-10"
"125","Cladribine","5","1.11257003837412","0.877833568519819","0.871403756336652","4.05837188088036e-10"
"126","Decitabine","5","1.11968312043619","0.916333510299222","0.911930010841286","1.09192852969437e-11"
"127","Lenvatinib","5","1.18707954079135","0.980410058826716","0.97937900929128","1.08405174098669e-17"
"128","Mercaptopurine","5","0.629220613763104","0.906083670106404","0.901140705375162","3.28993687426551e-11"
"129","Oxaliplatin","5","0.870508195205253","0.948519145603583","0.94580962695114","1.06622045575915e-13"
"130","YC-1","5","0.926556781428591","0.971502478334879","0.970002608773557","3.82994169419643e-16"
"131","Docetaxel","6","0.7524229028169","0.887072429424798","0.881128873078735","1.91370047477538e-10"
"132","Everolimus","6","0.865491690909076","0.944058884083751","0.941114614825001","2.35277198651272e-13"
"133","Gemcitabine","6","1.04240408749344","0.958505078702727","0.956321135476554","1.36809124728192e-14"
"134","Oligomycin A","6","1.26518032639173","0.919938363053648","0.91572459268805","7.1733355423433e-12"
"135","17-AAG","6","0.781232216432077","0.896988154581862","0.891566478507223","7.95315910633641e-11"
"136","BPTES","6","1.14099651300261","0.912348074805986","0.907734815585248","1.70230824989738e-11"
"137","Chlormethine","6","1.04959516084304","0.96714611375941","0.965416961852011","1.48244833308054e-15"
"138","Clofarabine","6","1.04642101782514","0.923268684538143","0.919230194250676","4.78325798451813e-12"
"139","Erlotinib","6","1.05250846574339","0.958230107207476","0.956031691797343","1.45687127017014e-14"
"140","Fluorouracil","6","0.97233529952726","0.959878321073484","0.957766653761562","9.93079977884578e-15"
"141","Irinotecan","6","1.02937917773541","0.924735420252799","0.920774126581893","3.97910138942987e-12"
"142","Panzem-2-ME2","6","0.930992110825498","0.892148260226564","0.886471852870068","1.23316830811771e-10"
"143","Pemetrexed","6","1.07086237810024","0.944824839371198","0.94192088354863","2.06319291605485e-13"
"144","Asparaginase","6","0.774884988388605","0.902325269058894","0.89481182821727","6.15801616405688e-08"
"145","Rapamycin","6","0.870906802412826","0.945626054488723","0.942764267882867","1.79482821732058e-13"
"146","Methotrexate","6","0.752738691960727","0.883127758667706","0.876976588071269","2.65704288994192e-10"
"147","Omacetaxine","6","0.726542193764685","0.863886082150476","0.856722191737344","1.14154232556831e-09"
"148","Paclitaxel","6","0.765070987343117","0.945687799436072","0.942829262564286","1.77550689427385e-13"
"149","Topotecan","6","0.995427864358447","0.972067157366133","0.970597007753824","3.16595453957291e-16"
"150","Trametinib","6","0.766351335104737","0.957084308036822","0.954825587407181","1.88497935719885e-14"
"151","Cladribine","6","1.07914836257721","0.912740049821316","0.908147420864543","1.63103294475648e-11"
"152","Decitabine","6","0.9876050237959","0.947258617328476","0.944482755082607","1.34249249989478e-13"
"153","Lenvatinib","6","1.12702203256559","0.956136282573362","0.953827665866697","2.32086071015177e-14"
"154","Mercaptopurine","6","0.747457284951106","0.923095945149779","0.919048363315557","4.88695087185781e-12"
"155","Oxaliplatin","6","0.894470501987269","0.943061953826002","0.940065214553686","2.78397309550511e-13"
"156","YC-1","6","0.984466521656654","0.966055070536185","0.964268495301247","2.02296435496343e-15"
"157","Docetaxel","7","0.490882196826108","0.811631085305219","0.801716931900231","2.57083330414247e-08"
"158","Everolimus","7","0.702965847041455","0.978124766810364","0.976973438747751","3.09559056690375e-17"
"159","Gemcitabine","7","1.00853196340439","0.988952364125756","0.988370909606059","4.6783412054408e-20"
"160","Oligomycin A","7","0.541929809818116","0.888213912032977","0.882330433718923","1.73663177022113e-10"
"161","17-AAG","7","0.475077628547898","0.807407927908697","0.797271503061787","3.18095009152323e-08"
"162","BPTES","7","0.404113383826522","0.695509562922854","0.67948375044511","2.63624774733655e-06"
"163","Chlormethine","7","0.893401608597714","0.968631858998654","0.96698090420911","9.54438862005503e-16"
"164","Clofarabine","7","0.986976287681581","0.970041119956816","0.968464336796648","6.16329217580096e-16"
"165","Erlotinib","7","0.989680637189387","0.990920522042602","0.990442654781686","7.24804897803073e-21"
"166","Fluorouracil","7","1.02626032834487","0.990485714178709","0.989984962293378","1.13058384596161e-20"
"167","Irinotecan","7","1.12506805789543","0.985758525235037","0.985008973931618","5.22925792529331e-19"
"168","Panzem-2-ME2","7","0.682430852547081","0.718007680027224","0.703165978976025","1.25382105743604e-06"
"169","Pemetrexed","7","1.01834451460045","0.978957217352264","0.977849702476067","2.14045559797281e-17"
"170","Asparaginase","7","0.361961303472604","0.616852645180083","0.587379771732397","0.000520976607006343"
"171","Rapamycin","7","0.710034413257781","0.971674589906607","0.97018377884906","3.61546385481202e-16"
"172","Methotrexate","7","0.699056444807575","0.89181433689333","0.886120354624558","1.27013378247713e-10"
"173","Omacetaxine","7","0.335470671537864","0.578717531871179","0.556544770390715","6.23792483704648e-05"
"174","Paclitaxel","7","0.405157701170641","0.813832485880793","0.804034195663992","2.29641724167379e-08"
"175","Topotecan","7","0.912508242014764","0.988171916991984","0.987549386307351","8.95105993558174e-20"
"176","Trametinib","7","0.414736679551539","0.72941264624522","0.715171206573916","8.41197126384628e-07"
"177","Cladribine","7","0.772499485361168","0.95938643444885","0.95724887836721","1.11521545254072e-14"
"178","Decitabine","7","0.852157047764599","0.987655023578024","0.987005287976868","1.34415148584617e-19"
"179","Lenvatinib","7","1.04516897728331","0.98444953346223","0.983631087854979","1.20639951512e-18"
"180","Mercaptopurine","7","0.69583311452544","0.968736453727605","0.967091003923795","9.24584918603455e-16"
"181","Oxaliplatin","7","0.486050834255892","0.80970644249562","0.799690992100653","2.83447603437066e-08"
"182","YC-1","7","0.785460152168973","0.985803154111907","0.985055951696745","5.07553422278586e-19"
"183","Docetaxel","8","0.9356617441097","0.82210474274117","0.812741834464389","1.48447705360743e-08"
"184","Everolimus","8","1.07945086315979","0.938944149009923","0.93573068316834","5.41508499069429e-13"
"185","Gemcitabine","8","1.16784055775192","0.968656664150784","0.967007014895563","9.47281873184849e-16"
"186","Oligomycin A","8","1.27805990311968","0.971267146542442","0.969754891097307","4.1416220577446e-16"
"187","17-AAG","8","0.823830814270319","0.86319728177633","0.855997138711927","1.1980434323169e-09"
"188","BPTES","8","1.28739477814226","0.937658584037933","0.934377456882034","6.60453210628557e-13"
"189","Chlormethine","8","1.24958344409674","0.946975031428054","0.944184243608478","1.41284675182244e-13"
"190","Clofarabine","8","1.29066902225123","0.932328959826975","0.928767326133658","1.44345879717653e-12"
"191","Erlotinib","8","1.22167510266616","0.955418325855536","0.953071921953196","2.70881913473978e-14"
"192","Fluorouracil","8","1.19101791730145","0.973016991299295","0.971596832946626","2.27812740975272e-16"
"193","Irinotecan","8","1.33572219701457","0.948189794394371","0.945462941467759","1.13298940515041e-13"
"194","Panzem-2-ME2","8","0.868585561630584","0.782834685936443","0.771404932564677","1.00913673828234e-07"
"195","Pemetrexed","8","1.1148696970337","0.959941267185197","0.957832912826523","9.78348134743505e-15"
"196","Asparaginase","8","1.31635106897142","0.879716682808221","0.870464119947315","2.40937611376526e-07"
"197","Rapamycin","8","1.12631323160676","0.960845563568933","0.958784803756771","7.87235871246441e-15"
"198","Methotrexate","8","0.970771689024509","0.912632758226265","0.908034482343437","1.65027173264191e-11"
