"","ionIndex","X.1","X","drug","slope","r2","adj.r2","pvalue","color","mzLabel","idKEGG","score","name"
"1",5,8924,8924,"Asparaginase",3.53021994419221,0.442154961096523,0.395667874521233,0.00946645029636449,"Positive","mz071.0140","C00511 C00546 C19440",100,"Propenoic acid C3:1"
"2",5,28744,28744,"Methotrexate",1.73639566469097,0.315493432039017,0.295360885922518,0.000364523610405721,"Positive","mz071.0140","C00511 C00546 C19440",100,"Propenoic acid C3:1"
"3",5,22798,22798,"YC-1",0.964707192894383,0.264853220419008,0.244432476541758,0.000947297690818143,"Positive","mz071.0140","C00511 C00546 C19440",100,"Propenoic acid C3:1"
"4",7,21809,21809,"Oxaliplatin",1.5443190974541,0.158940326677722,0.132657211886401,0.0195196357269905,"Positive","mz073.0297","C00163 C00424 C00937 C00969 C05235 C17530",100,"C3:0 (Propionic acid)"
"5",7,2980,2980,"Fluorouracil",1.09215340924936,0.198841482699362,0.175951239347915,0.00567290346615718,"Positive","mz073.0297","C00163 C00424 C00937 C00969 C05235 C17530",100,"C3:0 (Propionic acid)"
"6",10,25776,25776,"Rapamycin",-1.56978016596584,0.0797109459393995,0.0680617174069867,0.0106595094093376,"Negative","mz077.0398","C01407",100,"Benzene"
"7",10,8929,8929,"Asparaginase",-2.79858665954653,0.33510597452963,0.279698139073766,0.030078861054659,"Negative","mz077.0398","C01407",100,"Benzene"
"8",10,24785,24785,"Lenvatinib",-6.23140745665443,0.350488047235097,0.316303207615891,0.00469321531526735,"Negative","mz077.0398","C01407",100,"Benzene"
"9",10,3974,3974,"Pemetrexed",1.7851327244931,0.0650065110017904,0.047025866982594,0.0627958169088001,"Positive","mz077.0398","C01407",100,"Benzene"
"10",10,14875,14875,"Oligomycin A",1.94175677849507,0.0616023919152545,0.0483855241957509,0.0342380054103438,"Positive","mz077.0398","C01407",100,"Benzene"
"11",10,16857,16857,"Topotecan",1.68040640558818,0.0967516827061041,0.0716614516701627,0.057323058323719,"Positive","mz077.0398","C01407",100,"Benzene"
"12",10,11902,11902,"Irinotecan",1.41603225501908,0.0556658204723658,0.0241880144881113,0.193601404327326,"Positive","mz077.0398","C01407",100,"Benzene"
"13",13,16860,16860,"Topotecan",1.22332985052216,0.257719585254782,0.237100684845192,0.0011402464078878,"Positive","mz084.0460","C11118",100,"Acetone cyanohydrin"
"14",15,8934,8934,"Asparaginase",2.72827754156797,0.328245748926232,0.272266228003418,0.03222888660707,"Positive","mz088.0408","C00041 C00099 C00133 C00213 C01401 C01537",100,"Alanine"
"15",15,28754,28754,"Methotrexate",1.81704619171297,0.296381983395141,0.275687335847939,0.000597947023826705,"Positive","mz088.0408","C00041 C00099 C00133 C00213 C01401 C01537",100,"Alanine"
"16",15,11907,11907,"Irinotecan",-1.74604705921628,0.282845817671413,0.25894067826046,0.00173216264913889,"Negative","mz088.0408","C00041 C00099 C00133 C00213 C01401 C01537",100,"Alanine"
"17",15,16862,16862,"Topotecan",1.08350713259231,0.117819312912671,0.0933142938269118,0.034874318176467,"Positive","mz088.0408","C00041 C00099 C00133 C00213 C01401 C01537",100,"Alanine"
"18",17,25783,25783,"Rapamycin",0.932289340474534,0.154033013752619,0.143324570888728,0.000290214975448092,"Positive","mz089.0248","C00184 C00186 C00256 C01013 C02154",100,"Lactate"
"19",17,21819,21819,"Oxaliplatin",1.32027337566377,0.292663793686857,0.270559537239571,0.00095481054064102,"Positive","mz089.0248","C00184 C00186 C00256 C01013 C02154",100,"Lactate"
"20",17,2990,2990,"Fluorouracil",1.10417627164187,0.282570617090712,0.262072634721875,0.000710118273687072,"Positive","mz089.0248","C00184 C00186 C00256 C01013 C02154",100,"Lactate"
